atco_code,name,announcement_name,severity,flags,line2_shows,line3_shows,line2_over_px,line3_over_px,suggested_value,suggestion_kind,your_value
270000009359,"Hawthorn Tree Corner, Church Green Road","Hawthorn Tree Corner, Church Green Road",warn,unreviewed-copy comma-space town-scrolls stop-scrolls,Hawthorn Tree Corner,Church Green Road,811.94482421875,592.5128173828125,"Church Green Road,Hawthorn Tree Corner",reorder,
2700LBSR3191,"High School For Girls, Spilsby Road, Boston","High School For Girls, Spilsby Road, Boston",warn,unreviewed-copy multiple-commas comma-space town-scrolls stop-scrolls,High School For Girls,"Spilsby Road, Boston",765.48193359375,777.046875,"Boston,High School For Girls, Spilsby Road",reorder,
2700LHCC2441,"Holbeach, adj Interchange Shelter","Holbeach,Interchange Shelter",warn,stop-scrolls,Holbeach,Interchange Shelter,0,569.68701171875,,,
2700LHHG2858,"Holbeach, opp Interchange Shelter","Holbeach,Interchange Shelter",warn,stop-scrolls,Holbeach,Interchange Shelter,0,569.68701171875,,,
270000009451,"Holbeach, adj Stukeley Hall Drive","Holbeach,Stukeley Hall Drive",warn,stop-scrolls,Holbeach,Stukeley Hall Drive,0,500.8037109375,,,
270000009452,"Holbeach, opp Stukeley Hall Drive","Holbeach,Stukeley Hall Drive",warn,stop-scrolls,Holbeach,Stukeley Hall Drive,0,500.8037109375,,,
2700LGBR1019,"Hundlehouse Lane, Leagate Road, Bunkers Hill","Hundlehouse Lane, Leagate Road, Bunkers Hill",warn,unreviewed-copy multiple-commas comma-space town-scrolls stop-scrolls,Hundlehouse Lane,"Leagate Road, Bunkers Hill",488.528564453125,1320.098388671875,"Bunkers Hill,Hundlehouse Lane, Leagate Road",reorder,
270000008808,"Hunters Creek, London Road, Boston","Hunters Creek, London Road, Boston",warn,unreviewed-copy multiple-commas comma-space town-scrolls stop-scrolls,Hunters Creek,"London Road, Boston",50.27294921875,799.568359375,"Boston,Hunters Creek, London Road",reorder,
270000009331,"Ice Cream Parlour, Kingsway, Boston","Ice Cream Parlour, Kingsway, Boston",warn,unreviewed-copy multiple-commas comma-space town-scrolls stop-scrolls,Ice Cream Parlour,"Kingsway, Boston",408.384521484375,415.3841552734375,"Boston,Ice Cream Parlour, Kingsway",reorder,
270002700580,"Junction Meer Booth Road, Leagate Road, Antons Gowt","Junction Meer Booth Road, Leagate Road, Antons Gowt",warn,unreviewed-copy multiple-commas comma-space town-scrolls stop-scrolls,Junction Meer Booth Road,"Leagate Road, Antons Gowt",1273.229248046875,1400.34375,"Antons Gowt,Junction Meer Booth Road, Leagate Road",reorder,
